ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Regular price","Sale price","In stock?",Stock,Categories,Images,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
100,simple,JE57NE,"JEANS RECTO EMILIA NEGRO",1,1,visible,"Jeans Emilia en denim negro desgastado, de calce recto y tiro medio.","Jeans Emilia en denim negro desgastado, 100% algodón, de calce recto y tiro medio. Su mezcla de texturas y lavado suave aporta un look contemporáneo y versátil, perfecto para usar durante todo el año. Un diseño cómodo, con estructura y un acabado deslavado que realza su carácter urbano y atemporal. Detalle de basta roll up. Modelo mide 1,67 y usa talla 36",44990,33742,1,10,jeans,"https://cdn.shopify.com/s/files/1/0884/6534/2763/files/carola_miconno-726p.jpg?v=1764774426,https://cdn.shopify.com/s/files/1/0884/6534/2763/files/carolamiconno-736p.jpg?v=1764774363,https://cdn.shopify.com/s/files/1/0884/6534/2763/files/carolamiconno-738p.jpg?v=1764774363,https://cdn.shopify.com/s/files/1/0884/6534/2763/files/carolamiconno-753p.jpg?v=1764774363",Talla,"40, 42",1,1
101,simple,JE40RA,"Jeans culotte azul raw",1,1,visible,"Calce Culotte, tiro alto ajustado en cadera, ancho en rodilla y bota de un largo medio.","Calce Culotte 98,7%Algodón 1,3% Spandex, tiro alto ajustado en cadera, ancho en rodilla y bota de un largo medio que llega arriba del tobillo según el largo de pierna. Confeccionado en un denim elasticado y perfectamente lavado azul obscuro sin ningún tipo de desgaste .Se recomienda comprar la talla que utilizas frecuentemente. | Hecho en Chile.",42990,32242,1,10,jeans,"https://cdn.shopify.com/s/files/1/0884/6534/2763/files/Jeans_raw_01.jpg?v=1734705515,https://cdn.shopify.com/s/files/1/0884/6534/2763/files/Jeans_culotte-raw_01-scaled-1.jpg?v=1734705500,https://cdn.shopify.com/s/files/1/0884/6534/2763/files/Jeans_culotte-raw_03-scaled-1.jpg?v=1734705500,https://cdn.shopify.com/s/files/1/0884/6534/2763/files/Jeans_culotte-raw_02-scaled-1.jpg?v=1734705500",Talla,"40, 42, 46",1,1
102,simple,JE12GR,"Jeans Wide Leg Stella New Gris",1,1,visible,"Jeans pierna ancha recta, tiro alto. Diseñado y confeccionado en Chile.","Jeans pierna ancha recta, tiro alto. Diseñado y confeccionado en Chile | 100% Algodón",44990,33742,1,10,jeans,"https://cdn.shopify.com/s/files/1/0884/6534/2763/files/jeans_stella_new_gris_01_f95c5ae0-5759-4646-8f89-d392673a49d5.jpg?v=1734706061,https://cdn.shopify.com/s/files/1/0884/6534/2763/files/jeans_stella_new_gris_01.jpg?v=1734706048,https://cdn.shopify.com/s/files/1/0884/6534/2763/files/jeans_stella_new_gris_02-860x1075.jpg?v=1734706048,https://cdn.shopify.com/s/files/1/0884/6534/2763/files/jeans_stella_new_gris_04-860x1075.jpg?v=1734706048",Talla,"40, 44",1,1
